Laboratory,LL0087,CERVICAL SMEAR (PAP SMEAR),112
Laboratory,LL0088,CERVICAL SWAB,246.4
Laboratory,LL0089,CERVICAL TISSUE (HISTOLOGY),72.8
Laboratory,LL0090,CHLAMYDIA STAT. PAK TEST,75.04
Laboratory,LL0091,CHOLESTEROL,24.64
Laboratory,LL0092,CHROMOSOMAL STUDIES,"1,568.00"
Laboratory,LL0093,CK-MB MASS,50.4
Laboratory,LL0094,CLOTTING PROFILE,75.04
Laboratory,LL0095,CLOTTING TIME,29.12
Laboratory,LL0096,CMV TG G IG M,179.2
Laboratory,LL0097,COAGULATION PROFILE,75.04
Laboratory,LL0098,COCAINE-URINE,89.6
Laboratory,LL0099,COOMBS TEST,20.16
Laboratory,LL0100,CORTISOL - SERUM,95.2
Laboratory,LL0101,CREATINE KINASE (CK),31.36
Laboratory,LL0102,CREATININE,22.4
Laboratory,LL0103,CREATININE CLEARANCE TEST,56
Laboratory,LL0104,CULTURE,24.64
Laboratory,LL0105,CYST OF LEFT SCROTUM (HISTOLOGY),313.6
Laboratory,LL0106,D-D'MER,100.8
Laboratory,LL0107,DERMOID CYST (HISTOLOGY),313.6
Laboratory,LL0108,DIFERENTIAL CSF,22.4
Laboratory,LL0109,DIGOXIN,67.2
Laboratory,LL0110,DIGOXIN LEVEL,78.4
Laboratory,LL0111,DIHYDROXY EPLANDESTERONE SULPHATE (DHEAS),72.8
Laboratory,LL0112,DNA (ALLEGED ONE FATHER & THREE CHILDREN),"3,472.00"
Laboratory,LL0113,DNA (ALLEGED 1 FATHER 1 MOTHER & 1 CHILD),"2,688.00"
Laboratory,LL0114,"DNA (ALLEGED 1 FATHER, 1 MOTHER & 2 CHILDREN)","3,136.00"
Laboratory,LL0115,DNA (ALLEGED ONE FATHER & ONE CHILD),"1,568.00"
Laboratory,LL0116,DNA (ALLEGED ONE FATHER & TWO CHILDREN),"2,352.00"
Laboratory,LL0117,DNA (ALLEGED TWO FATHERS & ONE CHILD),"3,136.00"
Laboratory,LL0118,DNA (SIBLINGSHIP DETERMINATION),"2,800.00"
Laboratory,LL0119,DOUBLE STRANDED DNA ANTIBODY,112
Laboratory,LL0120,DRUG ABUSE SCREEN,168
Laboratory,LL0121,DYSFUNCTIONAL UTERINE BLEEDING,24.64
Laboratory,LL0122,EAR SWAB C/S,60.48
Laboratory,LL0123,ELECTROLYTES,38.08
Laboratory,LL0124,ENDOMETRIAL CURRETTING (HISTOLOGY),313.6
Laboratory,LL0125,ENDOSCOPIC BIOPSY (HISTOLOGY),218.4
Laboratory,LL0126,EOSINOPHIL COUNT,14.56
Laboratory,LL0127,EPIDYDIMAL CYST (HISTOLOGY),313.6
Laboratory,LL0128,ESR,13.44
Laboratory,LL0129,EXCISION BIOPSY,250.88
Laboratory,LL0130,EYE SWAB C/S,60.48
Laboratory,LL0131,FACTOR V LEYDUM,145.6
Laboratory,LL0132,FACTOR VIII ASSAY,145.6
Laboratory,LL0133,FALLOPIAN TUBE (HISTOLOGY),313.6
Laboratory,LL0134,FATTOR VIII,42.56
Laboratory,LL0135,FBC,31.36
Laboratory,LL0136,FBC BF FOR MPS,35.84
Laboratory,LL0137,FBC ESR,35.84
Laboratory,LL0138,FBC ESR SICKLING (HAEMOGRAM),39.2
Laboratory,LL0139,FBC SICKLING,35.84
Laboratory,LL0140,FERRITIN,60.48
Laboratory,LL0141,FETAL HEMOGLOBIN,364
Laboratory,LL0142,FIBROID (HISTOLOGY),351.68
Laboratory,LL0143,FIBRONOGEN,150.08
Laboratory,LL0144,FILARIA EXAM,24.64
Laboratory,LL0145,FREE T3,60.48
Laboratory,LL0146,FREE T4,60.48
Laboratory,LL0147,FRIBOMA (HISTOLOGY),313.6
Laboratory,LL0148,FSH,60.48
Laboratory,LL0149,FUSTULA TRACK (HISTOLOGY),190.4
Laboratory,LL0150,G6PD (RBC),31.36
Laboratory,LL0151,GALL BLADDER (HISTOLOGY),313.6
Laboratory,LL0152,GAMMA GT,22.4
Laboratory,LL0153,GANGLION (HISTOLOGY),313.6
Laboratory,LL0154,GASTRIN,76.16
Laboratory,LL0155,GLUCOSE FASTING (FBS),13.44
Laboratory,LL0156,GLUCOSE RANDOM (RBS),13.44
Laboratory,LL0157,GLYCOSYLATED (HBAIC),78.4
Laboratory,LL0158,GONORRHEA,69.44
Laboratory,LL0159,GROWTH HORMONE,95.2
Laboratory,LL0160,GTT GLUCOSE TOLERANCE TEST,54.88
Laboratory,LL0161,H PYLORI AB,81.76
Laboratory,LL0162,HB,13.44
Laboratory,LL0163,HB ELECTROPHORESIS,24.64
Laboratory,LL0164,HBsAg (Comf + Rapid),71.68
Laboratory,LL0165,HDL CHOLESTEROL,32.48
Laboratory,LL0166,HELICOBACTER PYLORI STOOL,137.76
Laboratory,LL0167,HEP. B S ANTIGEN TEST,22.4
Laboratory,LL0168,HEP. B S ANTIGEN TEST,22.4
Laboratory,LL0169,HEP. B. PROFILE,291.2
Laboratory,LL0170,HEPATITIS A (ANTIBODY) 1GM TEST,58.24
Laboratory,LL0171,HEPATITIS A 1gG 1gM TEST,112
Laboratory,LL0172,HEPATITIS A 1gG TEST,58.24
Laboratory,LL0173,HEPATITIS A ANTIBODY (TOTAL) TEST,69.44
Laboratory,LL0174,HEPATITIS A IgM,58.24
Laboratory,LL0175,HEPATITIS B C ANTIBODY 1GG TEST,58.24
Laboratory,LL0176,HEPATITIS B C ANTIBODY 1GM TEST,58.24
Laboratory,LL0177,HEPATITIS B E ANTIBODY TEST,58.24
Laboratory,LL0178,HEPATITIS B E ANTIGEN TEST,58.24
Laboratory,LL0179,HEPATITIS B S ANTIBODY TEST,58.24
Laboratory,LL0180,HEPATITIS B VIRAL LOAD (DNA) TEST,627.2
Laboratory,LL0181,HEPATITIS C IgG,62.72
Laboratory,LL0182,HEPATITIS C IgM,59.36
Laboratory,LL0183,HEPATITIS C SCREEN TEST,38.08
Laboratory,LL0184,HEPATITIS C VIRAL LOAD (RNA) TEST,616
Laboratory,LL0185,HEPATITIS E IgG,62.72
Laboratory,LL0186,"HERPES 1&2-IGG, IGM",70.56
Laboratory,LL0187,HIRSUTISM SCREEN,376.32
Laboratory,LL0188,HISTO IMMUNOPEROXIDASE,"1,680.00"
Laboratory,LL0189,HISTOLOGY,313.6
Laboratory,LL0190,HISTOLOGY LARGE,369.6
Laboratory,LL0191,HISTOLOGY MEDIUM,313.6
Laboratory,LL0192,HISTOLOGY SMALL SPECIMEN,250.88
Laboratory,LL0193,HLA - B27,137.76
Laboratory,LL0194,HOMOCYSTEINE,69.44
Laboratory,LL0195,HPLC ELECTROHORESIS,414.4
Laboratory,LL0196,HVS C/S,70.56
Laboratory,LL0197,HVS R/E & C/S,87.36
Laboratory,LL0198,IMMUNOGLOBIN E,81.76
Laboratory,LL0199,INFECTIOUS MONONUCLEOSIS,62.72
Laboratory,LL0200,INSULIN - FASTING,87.36
Laboratory,LL0201,INSULIN LIKE GROWTH FACTOR 1,188.16
Laboratory,LL0202,IONIZED CALCIUM,41.44
Laboratory,LL0203,IRON (FE),60.48
Laboratory,LL0204,IRON STUDIES,112
Laboratory,LL0205,KARYOTYPING (BLOOD),"1,344.00"
Laboratory,LL0206,L. E. CELLS,26.88
Laboratory,LL0207,LABORATORY TEST,95.2
Laboratory,LL0208,LABORATORY TEST 2,0
Laboratory,LL0209,LARGE INTESTINE (HISTOLOGY),358.4
Laboratory,LL0210,LDH,24.64
Laboratory,LL0211,LDL CHOLESTEROL,33.6
Laboratory,LL0212,LH,63.84
Laboratory,LL0213,LIPASE,42.56
Laboratory,LL0214,LIPID PROFILE,84
Laboratory,LL0215,LIPOMA (HISTOLGY),313.6
Laboratory,LL0216,LITHIUM,26.88
Laboratory,LL0217,LIVER FUNCTION TEST,85.12
Laboratory,LL0218,LUPUS ANTIBODIES,627.2
Laboratory,LL0219,LYMPH NODE (HISTOLOGY),250.88
Laboratory,LL0220,MAGNESIUM,22.4
Laboratory,LL0221,MALARIA ANTIGEN,22.4
Laboratory,LL0222,MANTOUX TEST,44.8
Laboratory,LL0223,MEASLES SEROLOGY,134.4
Laboratory,LL0224,MITOCHONDRIA AB,100.8
Laboratory,LL0225,MORTUARY EMBALMENT,134.4
Laboratory,LL0226,MORTUARY FEES (PER DAY),28
Laboratory,LL0227,MORTUARY POSTMORTEM,0
Laboratory,LL0228,MUMPS,123.2
Laboratory,LL0229,NASAL SWAB C/S,56
Laboratory,LL0230,OESTRADIOL,63.84
Laboratory,LL0231,OESTROGEN,76.16
Laboratory,LL0232,OMENTUM (HISTOLOGY),257.6
Laboratory,LL0233,OTHER C/S,70.56
Laboratory,LL0234,OVARIAN CYST (HISTOLOGY),358.4
Laboratory,LL0235,OXALATE 24 HOUR URINE,39.2
Laboratory,LL0236,PAP SMEAR,134.4
Laboratory,LL0237,PAPILLOMA (HISTOLOGY),313.6
Laboratory,LL0238,PARATHYROID HORMONE,235.2
Laboratory,LL0239,PAUL BUNNEL,41.44
Laboratory,LL0240,"PERTUSIS IgG, IgM",250.88
Laboratory,LL0241,PHENOBARBITOL,53.76
Laboratory,LL0242,PHENYTOIN,53.76
Laboratory,LL0243,PHOSPHATE,22.4
Laboratory,LL0244,PILONIDAL TRACK (HISTOLOGY),313.6
Laboratory,LL0245,PLASMA FOR TRANSFUSION,67.2
Laboratory,LL0246,PLASMA PROTEINS,31.36
Laboratory,LL0247,PNS,84
Laboratory,LL0248,POTASSIUM,22.4
Laboratory,LL0249,PREGNACY TEST SERUM,60.48
Laboratory,LL0250,PREGNANCY TEST URINE,22.4
Laboratory,LL0251,PRO-BNP,273.28
Laboratory,LL0252,PROGESTERONE,62.72
Laboratory,LL0253,PROLACTIN,62.72
Laboratory,LL0254,PROSTATE BIOPSY,302.4
Laboratory,LL0255,PROTEIN - (C),190.4
Laboratory,LL0256,PROTEIN - (S),190.4
Laboratory,LL0257,PROTEIN ELECTROPHORESIS,123.2
Laboratory,LL0258,PROTHROMBIN TIME,44.8
Laboratory,LL0259,PROTHROMBIN TIME /INR,41.44
Laboratory,,PSA,61.6
Laboratory,LL0260,PUS FLUID,71.68
Laboratory,LL0261,PYOSALPINX (HISTOLOGY),250.88
Laboratory,LL0262,RANDOM URINE SODIUM,24.64
Laboratory,LL0263,RAST (FOOD ALLERGY TEST),380.8
Laboratory,LL0264,RECTAL POLYP (HISTOLOGY),250.88
Laboratory,LL0265,RETICULOCYTE COUNT,21.28
Laboratory,LL0266,RETROVIRAL LOAD,627.2
Laboratory,LL0267,RETROVIRAL TEST,16.8
Laboratory,LL0268,RHEUMATOID FACTOR (RF),32.48
Laboratory,LL0269,RPR / TPHA,150.08
Laboratory,LL0270,RUBELLA (1GG),70.56
Laboratory,LL0271,RUBELLA 1gG,95.2
Laboratory,LL0272,RUBELLA IgM,95.2
Laboratory,LL0273,SALPINA (HISTOLOGY),250.88
Laboratory,LL0274,SCHISTOSOMA ANTIBODIES,134.4
Laboratory,LL0275,SEMEN ANALYSES BASIC,53.76
Laboratory,LL0276,SEMEN C/S,60.48
Laboratory,LL0277,SERUM ACTH,94.08
Laboratory,LL0278,SERUM CHOLESTROL,22.4
Laboratory,LL0279,SERUM FOLATE,56
Laboratory,LL0280,SERUM LEAD LEVELS,238.56
Laboratory,LL0281,SERUM OSMOLALITY,42.56
Laboratory,LL0282,SICKLING,13.44
Laboratory,LL0283,SKIN LESION,313.6
Laboratory,LL0284,SKIN LESION,313.6
Laboratory,LL0285,SKIN LESION (HISTOLOGY),212.8
Laboratory,LL0286,SKIN SNIP / SCRAPPING,39.2
Laboratory,LL0287,SMALL INTESTINE (HISTOLOGY),188.16
Laboratory,LL0288,SMOOTH MUSCLES ANTIBODIES,95.2
Laboratory,LL0289,SODIUM,22.4
Laboratory,LL0290,SPLEEN (HISTOLOGY),358.4
Laboratory,LL0291,SPUTUM AFB CULTURE,19.04
Laboratory,LL0292,SPUTUM C/S,67.2
Laboratory,LL0293,SPUTUM CYTOLOGY,212.8
Laboratory,LL0294,SPUTUM RE,22.4
Laboratory,LL0295,STOMACH (HISTOLOGY),358.4
Laboratory,LL0296,STOOL C/S,67.2
Laboratory,LL0297,Stool Elastase,257.6
Laboratory,LL0298,STOOL OCCULT BLOOD,24.64
Laboratory,LL0299,STOOL R/E,13.44
Laboratory,LL0300,STOOL R/E & C/S,72.8
Laboratory,LL0301,SUPRA ORBITAL LUMP (HISTOLGY),250.88
Laboratory,LL0302,T. M. JOINT,163.52
Laboratory,LL0303,T. Pallidium,67.2
Laboratory,LL0304,TAH + BSO (HISTOLOGY),250.88
Laboratory,LL0305,"TB 1gM, 1gM",60.48
Laboratory,LL0306,TB AFB MICROSCOPY,0
Laboratory,LL0307,TEGRETOL,69.44
Laboratory,LL0308,TESTOSTERONE,60.48
Laboratory,LL0309,THROAT SWAB C/S,60.48
Laboratory,LL0310,THYROGLOBIN ANTIBODY,168
Laboratory,LL0311,THYROID ANTIBODIES,163.52
Laboratory,LL0312,THYROID FUNCTION TEST,150.08
Laboratory,LL0313,THYROID GLAND (HISTOLOGY),250.88
Laboratory,LL0314,THYROID ISTHMUS (HISTOLOGY),250.88
Laboratory,LL0315,TIBC,75.04
Laboratory,LL0316,TISSUE TRANSGLUTAMINASE ENDOMYSIAL ISA,58.24
Laboratory,LL0317,TOTAL BREAST (HISTOLOGY),302.4
Laboratory,LL0318,TOTAL PROTEIN /ALBUMIN,19.04
Laboratory,LL0319,TOXOPLASMA IgG,75.04
Laboratory,LL0320,TOXOPLASMA IgG & IgM,150.08
Laboratory,LL0321,TOXOPLASMA IgM,72.8
Laboratory,LL0322,TOXOPLASMA SCREEN,56
Laboratory,LL0323,TPHA,212.8
Laboratory,LL0324,TRACOLIMUS,95.2
Laboratory,LL0325,TRANSFERRIN,56
Laboratory,LL0326,TRIGLYCERIDES,24.64
Laboratory,LL0327,TROPHOZOITE COUNT,35.84
Laboratory,LL0328,TROPONIN 'T',72.8
Laboratory,LL0329,TROPONIN I,72.8
Laboratory,LL0330,TSH,62.72
Laboratory,LL0331,TSH RECEPTOR ANTIBODIES,156.8
Laboratory,LL0332,UREA /ELECTROLYTE (BUE),33.6
Laboratory,LL0333,URETHRAL SMEAR (R/E & C/S),75.04
Laboratory,LL0334,URETHRAL SMEAR (R/E),19.04
Laboratory,LL0335,URIC ACID/URATE,22.4
Laboratory,LL0336,URINE C/S,67.2
Laboratory,LL0337,URINE CYTOLOGY,212.8
Laboratory,LL0338,URINE FOR PCR,448
Laboratory,LL0339,URINE FREE CORTISOL,560
Laboratory,LL0340,URINE KETONES SUGAR,17.92
Laboratory,LL0341,URINE MICRO ALBUMIN,87.36
Laboratory,LL0342,URINE MYOGLOBIN,21.28
Laboratory,LL0343,URINE OSMOLARITY,34.72
Laboratory,LL0344,URINE PROTEIN,14.56
Laboratory,LL0345,URINE PROTEIN CREATININE RATIO,87.36
Laboratory,LL0346,URINE R/E & CULTURE/SENTIVITY,87.36
Laboratory,LL0347,URINE REDUCING SUBSTANCES,19.04
Laboratory,LL0348,URINE ROUTINE EXAM.,19.04
Laboratory,LL0349,URINE TOXICOLOGY SCREEN,515.2
Laboratory,LL0350,UTERUS (HISTOLOGY),302.4
Laboratory,LL0351,V.D.R.L,22.4
Laboratory,LL0352,V.M.A.,627.2
Laboratory,LL0353,VAGINAL SWAB (HVS) R/E,19.04
Laboratory,LL0354,VARICELLA,100.8
Laboratory,LL0355,VITAMIN B12,60.48
Laboratory,LL0356,W.B.C,13.44
Laboratory,LL0357,WESTERN BLOT,425.6
Laboratory,LL0358,WIDAL SCREEN,22.4
Laboratory,LL0359,WIDAL TITRE,38.08
Laboratory,LL0360,WOUNDS SWAB C/S,67.2
Laboratory,LL0361,WWC PAP SMEAR,125.44
Laboratory,LL0362,WWC R.B.S,14.56
Laboratory,LL0363,XMATCHING WITHOUT COLLECTION,38.08
